创新工作室名称,创新工作领域
朱继文创新工作室,幼儿园五大领域课程组织实施
杜建强创新工作室,高分子化工新材科研开发
初仁生创新工作室,宽厚钢板炼钢技术研究与开发
徐善军创新工作室,换流阀冷却、电力机器人
刘亚军创新工作室,智能微创脊柱诊疗
周晓光创新工作室,药物研发和制造
贺光辉创新工作室,表面工程及新材料技术研究与开发
袁广才创新工作室,半导体器件
喜静波创新工作室,天然气发电运行与维护
马保龙创新工作室,交通安全与环保技术研究与开发
孙勇创新工作室,制造类-航空航天
杨晓雪创新工作室,文物三维数字化技术
张小杰创新工作室,轨道交通
陈景旭创新工作室,医疗
邵斌创新工作室,城市轨道交通振动与噪声控制
彭飞创新工作室,App开发效率与性能提升（iOS）
刘红军创新工作室,水泥熟料生产工艺创新
高晋生创新工作室,提高生产效率方法创新
井秀海创新工作室,地铁车辆部件设计制造
韩德民创新工作室,临床医学-耳鼻咽喉科学
吴昊创新工作室,艾滋病及新发突发传染病
米硕成创新工作室,房地产开发领域
李杨紫洁创新工作室,轨道交通领域
门桂菊创新工作室,创新市场营销引领职工岗位成才
刘素霞创新工作室,玉米良种培育
赵凤奇创新工作室,食品加工
单杏花创新工作室,铁路客票发售和预定系统
张良创新工作室,超高层工程科研与管理
徐扬创新工作室,工程建设施工方法研究
汤丰林创新工作室,北京市中小学教师培训政策研究与管理
李清波创新工作室,绿色防控技术研究与推广
刘丰收创新工作室,钢轨技术研究与开发
张鹏创新工作室,地铁施工
胡延红创新工作室,建筑工程施工
高丁创新工作室,120急救调度指挥系统
黑昱冬创新工作室,互联网新业务
张健创新工作室,国际国内长途通信网络的维护和业务支撑
刘冀鲁创新工作室,企业信息化及企业创新运营
路国忠创新工作室,新型节能绿色建材
房宁创新工作室,公共卫生理化检测技术
陈志贵创新工作室,环境减排
王道敏创新工作室,城市轨道交通自动化控制
张罗创新工作室,鼻病研究
李建军创新工作室,家庭教育研究指导
李信创新工作室,电力物联网与大数据创新应用
王飞创新工作室,中西医结合骨科微创技术
牛慧峰创新工作室,机器人共性技术及产线新工艺
许彭龄创新工作室,中医学术思想和临床经验传承
苗兴光创新工作室,钢结构设计制造安装
顾军农创新工作室,城市给排水
黄海荣创新工作室,结核病
白义创新工作室,生物医药单抗药物
康小超创新工作室,汽车装调及质量提升
吴晨创新工作室,建筑设计与城市规划及城市科学
席家宁创新工作室,康复医学与理疗学
梁勇创新工作室,市政固废处理技术研发与产业化应用
汤德芸创新工作室,体外诊断试剂及设备研发
余梦伦创新工作室,运载火箭弹道设计
郑敬先创新工作室,高端驱动控制与高效节能产品的研发
朱艳菊创新工作室,机械精密加工
张宏武创新工作室,生物与新医药研发
郝利斌创新工作室,工程试验检验检测
郭刚创新工作室,奶牛饲养管理体系
梁启征创新工作室,汽车质量管理控制
董立杰创新工作室,轧钢工艺模型优化和开发
潘文创新工作室,烧结节能环保技术研究与研发
张维中创新工作室,热轧产线机械与电气自动化设备
刘宇红创新工作室,多中心临床研究智能化管理
李育冰创新工作室,铁路四电施工工机具研发
赵海英创新工作室,汽车内外饰及生态环保技术
林巧玲创新工作室,园林废弃物再利用
刘斌创新工作室,基础设施施工领域
高玉树创新工作室,粮食储藏技术研发、应用与推广
李宁创新工作室,肿瘤生物治疗
王登宝创新工作室,服务创新
孙灵利创新工作室,医疗卫生
王锡娟创新工作室,生物医药与生物技术
顾九如创新工作室,菜品研发、食品研发
王小斌创新工作室,医学领域
芦金生创新工作室,西甜瓜新品种新技术
高永进创新工作室,国际业务线上化
石国华创新工作室,黑猪保护、开发与培育
薄锦育创新工作室,技术、产品创新，品牌战略创新  管理创新
童朝晖创新工作室,呼吸危重症的救治与监护
李红梅创新工作室,服装与服饰设计
李敏创新工作室,中医儿科学
林云志创新工作室,城市轨道交通建设
解江冰创新工作室,眼科医疗产品研发
韩晶创新工作室,艾滋病患者咨询与关怀
陈昌彦创新工作室,地下病害探测评价与施工风险监控
刘柏青创新工作室,流体传动与控制-工程多路阀
邵清华创新工作室,工业机器人
陈杰创新工作室,疝和腹壁外科
郑素云创新工作室,底盘精细化设计
赵向波创新工作室,市政和水运工程施工技术创新
左勇志创新工作室,建设工程司法鉴定服务与研究
张海波创新工作室,装配式建筑施工技术及BIM技术
陈劲创新工作室,建筑安装智能建造与装配式施工技术
胡琴创新工作室,化学药品质量控制与风险监测
张忠涛创新工作室,"消化道恶性肿瘤的临床与基础研究
和微创外科的临床研究"
王占伶创新工作室,高技能人才培养、项目孵化和社会服务
王学文创新工作室,泵站设备运行与维护
周正浩创新工作室,军品制造领域智能化工艺技术创新
贾继东创新工作室,慢性肝病及肝硬化的诊治
刘辉创新工作室,新能源电力技术研发
丁永明创新工作室,教育培养与发展
荣志晓创新工作室,舞台机械技术创新
于欣创新工作室,建筑机电深化和BIM
张铁民创新工作室,航天器金属结构弧焊技术
马琳创新工作室,儿童皮肤病诊断与治疗
马丽丽创新工作室,围产妇女保健人员临床与科研
熊道权创新工作室,铁路专用通信设备技术开发
刘明华创新工作室,市政基础设施建筑施工
徐学良创新工作室,城市供水服务保障
黄绵松创新工作室,智慧水务平台开发建设
郝晨旭创新工作室,盾构法隧道施工
高明亮创新工作室,电力
王波创新工作室,现代园艺
向云创新工作室,城市轨道交通盾构法隧道施工
李晟创新工作室,非遗数字化图像技术研究与开发
韩敏霞创新工作室,地热能应用技术研究
 沈智慧创新工作室,"邮政服务
市场营销"
赵郁创新工作室,汽车制造
张俊廷创新工作室,颅底和脑干疾病治疗
李平创新工作室,金融服务业
陈历俊创新工作室,乳品加工
韩友强创新工作室,施工方法创新
何川创新工作室,水产
胡俞越创新工作室,科研教学
席闻创新工作室,宫廷补绣
高军安创新工作室,电子收费及其扩展应用
王鹏创新工作室,古琴技艺创作与研发
王宁利创新工作室,眼科诊疗设备及器械创新与研发
陈玉飞创新工作室,食品饮料用金属包装研究与开发
袁金武创新工作室,地铁线路维修与探伤
钱志国创新工作室,无卤工程塑料的阻燃研究
颜丹平创新工作室,城镇燃气输配工艺关键技术
刘若南创新工作室,装配式结构构件
查品德创新工作室,水声通信及水下信号处理
杨晓慧创新工作室,绿色建筑、BIM技术
刘磊创新工作室,无取向电工钢产品研发与应用
苗世光创新工作室,城市天气数值预报服务
魏晓伟创新工作室,变电设备运检
杜文涛创新工作室,工艺品雕刻工玉雕设计与制作
田儒洲创新工作室,钢结构技术研发
冷长林创新工作室,显示设备与物联网终端研究与开发
黄薇创新工作室,表面处理
田迎创新工作室,高速公路运营服务创新
李顺昕创新工作室,电力系统规划设计
干永革创新工作室,电力电子与电气传动产品研发应用
刘红梅创新工作室,传统中医疗法开发与应用研究
陈岩创新工作室,高可靠性及智能化流体控制技术
胡锦华创新工作室,大直径盾构装备研制与应用
王小平创新工作室,园林绿化科技创新与引领发展
李书鹏创新工作室,土壤地下水修复技术
王敏创新工作室,教育领域技术创新与应用
王德升创新工作室,建筑类-建筑
王耀创新工作室,机械式立体停车设备
孔德忠创新工作室,蒙元文化房屋建筑施工技术的研发
孙礼玲创新工作室,冠心病介入诊疗及心脏康复
吴艳元创新工作室,太阳能光热产品开发利用
张海军创新工作室,应急抢修焊接工艺标准与操作规范
郑双成创新工作室,航空装备综合服务保障 
薛忠军创新工作室,建筑与交通
严俊雄创新工作室,服务效能提升和NPS运营
李晨光创新工作室,装配式混凝土建筑施工与检测
史晓刚创新工作室,增强现实(AR)核心技术的研发和产业化
李阳创新工作室,铁路车载设备故障攻关
柳瑞海创新工作室,工业与民用建筑施工类
唐超创新工作室,隧道结构全要素智能检测
赵忠华创新工作室,房屋建筑施工方法创新
吴喜军创新工作室,高速公路交通保洁与维养
石林创新工作室,装配式建筑施工
青格勒吉日格乐创新工作室,钢铁冶金
高汉龙创新工作室,信息技术和服务领域
张鸿语创新工作室,功能型面料研发、服装设计
郝纯创新工作室,能源与环境
黄阿勇创新工作室,中医骨伤疾病防治
尹海松创新工作室,工业与民用建筑施工
任立刚创新工作室,政企创新（云、大、物、算力）业务
房海东创新工作室,广播电视、音视频信号
董梅创新工作室,法律服务、法律援助、调解、研究
王振国创新工作室,机电工程
孙冰冰创新工作室,生物与新医药技术
陈鹏创新工作室,饲用微生物发酵产品研发
张彤创新工作室,感染性疾病防治
陈亮创新工作室,教育法律服务、青少年法治教育
王爽创新工作室,园林有害生物测报与生态治理
王振常创新工作室,影像新技术及研发应用
田虎创新工作室,VR建模技术研究与开发
陈小文创新工作室,园艺栽培设施与模式研究
曾波创新工作室,环境保护与资源节约综合利用
